,ID,name,address,rating,rating_number,price_level,lat,lng,open,Sun_open,Sun_close,Mon_open,Mon_close,Tue_open,Tue_close,Wed_open,Wed_close,Thur_open,Thur_close,Fri_open,Fri_close,Sat_open,Sat_close,url,wifi,time_limit,outlet,nearest_bus,bus_distance,nearest_station,station_distance
0,ChIJv-lPmcGrQjQRIZ3i9SxfgBg,True From,"No. 5號, Lane 158, Section 3, Bade Rd, Fujian Village, Songshan District, Taipei City, Taiwan 10554",4.5,1152,2.0,25.0474191,121.5552486,True,10:30:00,18:30:00,10:30:00,18:30:00,10:30:00,18:30:00,10:30:00,18:30:00,10:30:00,18:30:00,10:30:00,18:30:00,10:30:00,18:30:00,https://maps.google.com/?cid=1765515700637703457,yes,,,美仁里,94.90637454881958,台北小巨蛋,605.4320077246189
1,ChIJ-yeXD9erQjQR7H3fnZO8esg,CHIT CHAT Cafe 南京店,"105, Taiwan, Taipei City, Songshan District, Jixiang Village, Section 5, Nanjing E Rd, 38號1樓",4.6,1347,2.0,25.0512437,121.5594757,True,09:00:00,20:00:00,09:00:00,20:00:00,09:00:00,20:00:00,09:00:00,20:00:00,09:00:00,20:00:00,09:00:00,20:00:00,09:00:00,20:00:00,https://maps.google.com/?cid=14446066096939171308,,,yes,南京三民路口,108.52175079108899,南京三民,487.853406797118
2,ChIJJZ7aZQ-rQjQRRGxzqRLHe9A,"Cafe,honestly真拾生活","105, Taiwan, Taipei City, Songshan District, Yanshou St, 117-1號一樓117號後棟",4.9,460,,25.0572057,121.5649156,True,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,11:00:00,17:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,https://maps.google.com/?cid=15022819864990673988,,,,富泰里,52.7309276483807,南京三民,642.9764127247489
3,ChIJT2Oz1pKrQjQRRnykvhE9Bns,All Day Roasting Company,"105, Taiwan, Taipei City, Songshan District, Jieshou Village, Yanshou St, 329號1樓",4.4,2280,2.0,25.0568643,121.5602372,True,07:30:00,22:30:00,07:30:00,22:30:00,07:30:00,22:30:00,07:30:00,22:30:00,07:30:00,22:30:00,07:30:00,22:30:00,07:30:00,22:30:00,https://maps.google.com/?cid=8864840062947589190,,,,聯合二村,201.65903896420087,南京三民,728.8548242647405
5,ChIJJ--63GmrQjQR15I6nZY8NoU,BLUEROOM,"No. 1號, Alley 12, Lane 66, Section 5, Nanjing E Rd, Jixiang Village, Songshan District, Taipei City, Taiwan 105",4.8,383,,25.0504016,121.560551,True,11:00:00,18:00:00,09:30:00,18:00:00,09:30:00,18:00:00,,,09:30:00,18:00:00,09:30:00,18:00:00,11:00:00,18:00:00,https://maps.google.com/?cid=9598926273367413463,yes,,yes,南京三民路口,115.89328971363365,南京三民,395.60851626626993
6,ChIJfxLXfWOrQjQRkfowRGOA-Ro,lavi cafe ＃安居咖啡,"No. 116號, Fujin St, Jingzhong Village, Songshan District, Taipei City, Taiwan 105",4.8,142,,25.0596766,121.5529698,True,11:00:00,20:00:00,11:00:00,19:00:00,,,11:00:00,19:00:00,11:00:00,19:00:00,11:00:00,19:00:00,11:00:00,20:00:00,https://maps.google.com/?cid=1943725878021257873,,,,公教住宅,175.80754489243967,松山機場,401.6949421246987
8,ChIJTXOvEy6rQjQRYZg-gNv2wmM,NEMO COFFEE,"No. 2號, Alley 9, Lane 23, Section 5, Nanjing E Rd, Dongguang Village, Songshan District, Taipei City, Taiwan 105",4.8,100,1.0,25.0526949,121.5579313,True,,,09:00:00,17:45:00,09:00:00,17:45:00,09:00:00,17:45:00,09:00:00,17:45:00,09:00:00,17:45:00,10:00:00,18:00:00,https://maps.google.com/?cid=7188579377846589537,,,,南京新村,105.65442295637612,南京三民,658.3982875411588
9,ChIJw-n1EOMeaDQRfSYKft625pQ,瑞帛咖啡Rebirth Coffee,"No. 85號, Lane 11, Guangfu N Rd, Jixiang Village, Songshan District, Taipei City, Taiwan 105",4.4,702,2.0,25.0503626,121.5617335,True,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,https://maps.google.com/?cid=10729464228970374781,,,yes,南京三民路口,146.05573272781407,南京三民,285.160226149252
10,ChIJwV1LzxerQjQRpoW5sJkGZlM,汩咖啡 gu coffee ( 營運時間以ig公告為準 ）,"105, Taiwan, Taipei City, Songshan District, Fujian Village, Alley 48, Lane 6, Guangfu S Rd, 7號一樓",4.5,280,,25.047218,121.5564374,True,11:00:00,19:00:00,11:00:00,18:00:00,11:00:00,18:00:00,11:00:00,18:00:00,11:00:00,18:00:00,11:00:00,18:00:00,11:00:00,21:00:00,https://maps.google.com/?cid=6009498009937216934,,,,光復路口,90.95539628456062,鐵博西站,581.8051469660049
11,ChIJiWPYMgGrQjQRRERPm2SrhKI,Shawn,"No. 16號, Lane 8, Xinzhong St, Dongrong Village, Songshan District, Taipei City, Taiwan 105",4.6,463,2.0,25.0590456,121.5612891,True,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,https://maps.google.com/?cid=11710673379660874820,,yes,yes,民生社區活動中心,56.02116869522781,南京三民,897.0758802740338
12,ChIJx5pbLJCrQjQR-bUq5x-2j2s,Sky Cofi 咖啡館,"105, Taiwan, Taipei City, Songshan District, Zhongzheng Village, Section 3, Nanjing E Rd, 287號16樓",4.7,643,,25.0520768,121.5462024,True,11:00:00,18:00:00,08:30:00,18:30:00,08:30:00,18:30:00,08:30:00,18:30:00,08:30:00,18:30:00,08:30:00,18:30:00,11:00:00,18:00:00,https://maps.google.com/?cid=7750613731866490361,yes,yes,yes,捷運南京復興站,183.0112289366596,台北小巨蛋,536.2104608389532
13,ChIJfdeZjparQjQR6SFKjP1-33Y,PAUSEstudio,"No. 14號, Alley 18, Lane 250, Section 5, Nanjing E Rd, Xinju Village, Songshan District, Taipei City, Taiwan 105",4.7,480,,25.0500724,121.566801,True,10:00:00,19:30:00,10:00:00,19:30:00,,,10:00:00,19:30:00,10:00:00,19:30:00,10:00:00,19:30:00,10:00:00,19:30:00,https://maps.google.com/?cid=8565704643727466985,yes,,yes,新聚里,101.16323014300234,南京三民,293.13414208993146
15,ChIJUWioQs6rQjQR7gtiF30Rg-8,cafe BOMBOM,"No. 386號, Yanshou St, 松山區 Songshan District, Taipei City, Taiwan 105",4.8,196,,25.05627,121.5578356,True,10:30:00,19:00:00,10:30:00,19:00:00,10:30:00,19:00:00,10:30:00,19:00:00,10:30:00,19:00:00,10:30:00,19:00:00,10:30:00,19:00:00,https://maps.google.com/?cid=17258657425974758382,,,,松山新城,234.0416461126133,台北小巨蛋,816.5335258946569
16,ChIJJXnWJ3mrQjQRhAAAseqeQss,JODA CAFE 松山八德店,"10563, Taiwan, Taipei City, Songshan District, Fucheng Village, Section 4, Bade Rd, 16號1樓",4.9,1018,2.0,25.0480925,121.5585211,True,06:30:00,17:30:00,06:30:00,17:30:00,06:30:00,17:30:00,06:30:00,17:30:00,06:30:00,17:30:00,06:30:00,17:30:00,06:30:00,17:30:00,https://maps.google.com/?cid=14646443668991377540,,yes,,榮民服務處,73.98801776252084,鐵博西站,425.78381062940474
17,ChIJ0QDnrdirQjQRD2OySM4pb9I,yokoso coffee stand (民生店）,"No. 20號, Section 5, Minsheng E Rd, Jieshou Village, Songshan District, Taipei City, Taiwan 105",4.4,329,,25.0582026,121.5563364,True,09:30:00,18:30:00,08:30:00,17:30:00,08:30:00,17:30:00,08:30:00,17:30:00,08:30:00,17:30:00,08:30:00,17:30:00,09:30:00,18:30:00,https://maps.google.com/?cid=15163384436339401487,,,,介壽國中,31.77168800581412,松山機場,720.9048108305677
19,ChIJW1m9B7irQjQRVClOY6i0IqA,啡驛 Café E,"No. 83號, Section 5, Nanjing E Rd, Dongguang Village, Songshan District, Taipei City, Taiwan 105",4.8,140,,25.0516999,121.5599999,True,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,https://maps.google.com/?cid=11538983830590204244,,,,南京三民路口,60.13791308681038,南京三民,435.5730518430773
20,ChIJgzu_3EqrQjQRygLRQcZKTts,咖啡屋 珈琲や 台北松山工房,"No. 758號, Section 4, Bade Rd, Ciyou Village, Songshan District, Taipei City, Taiwan 105",4.5,751,2.0,25.049981,121.5788369,True,11:00:00,20:30:00,11:00:00,19:00:00,11:00:00,20:30:00,11:00:00,20:30:00,11:00:00,20:30:00,11:00:00,20:30:00,11:00:00,20:30:00,https://maps.google.com/?cid=15802650357857845962,,,,松山車站,34.2354016434853,松山,113.99504803720049
21,ChIJ0-93j7GrQjQRkaojyyna2ko,Cornerstone Cafe (Modern Australian Brunch),"No. 358號, Yanshou St, Songshan District, Taipei City, Taiwan 105",4.4,486,,25.0564391,121.558803,True,09:00:00,17:30:00,09:00:00,17:00:00,,,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:30:00,https://maps.google.com/?cid=5393863376766216849,,,,聯合二村,227.40106576632695,南京三民,785.1747769939199
22,ChIJEQ6z5e6rQjQR24LLOWbeGAs,Coffee Essential,"No. 3號, Alley 1, Lane 56, Section 4, Minsheng E Rd, Jingzhong Village, Songshan District, Taipei City, Taiwan 105",4.4,1466,2.0,25.0576079,121.551816,True,11:00:00,19:30:00,11:00:00,19:30:00,11:00:00,19:30:00,11:00:00,19:30:00,11:00:00,19:30:00,11:00:00,19:30:00,11:00:00,19:30:00,https://maps.google.com/?cid=799633464495932123,,,,公教住宅,70.20000323924718,松山機場,607.173084664772
24,ChIJ28wpwZSrQjQR6UhhK-JmCTc,NODE COFFEE ROASTERS,"No. 1號, Alley 2, Lane 123, Section 5, Nanjing E Rd, Dongguang Village, Songshan District, Taipei City, Taiwan 105",4.6,424,1.0,25.0521666,121.5608342,True,08:00:00,17:00:00,07:30:00,17:00:00,07:30:00,17:00:00,07:30:00,17:00:00,07:30:00,17:00:00,07:30:00,17:00:00,08:00:00,17:00:00,https://maps.google.com/?cid=3965814068452870377,,,,南京三民路口,74.52688117193561,南京三民,359.7708948330805
25,ChIJPzzGHvurQjQRP-5UfEESPZM,Nanjing23 Cafe (Nanjing Ershen Coffee),"No. 1-5號, Alley 6, Lane 23, Section 5, Nanjing E Rd, Dongguang Village, Songshan District, Taipei City, Taiwan 105",4.9,130,,25.052309,121.5581002,True,,,08:00:00,18:00:00,08:00:00,18:00:00,08:00:00,18:00:00,08:00:00,18:00:00,08:00:00,18:00:00,08:00:00,18:00:00,https://maps.google.com/?cid=10609656369622871615,yes,,,南京新村,119.87343333662713,南京三民,633.7834050779807
28,ChIJhZRGaI2rQjQRZvpe4QeIxq8,Qingkong Lane Jiaqi,"No. 11號, Lane 137, Section 5, Minsheng E Rd, Dongrong Village, Songshan District, Taipei City, Taiwan 105",4.3,829,2.0,25.059666,121.561368,True,10:00:00,17:00:00,10:00:00,17:00:00,,,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,https://maps.google.com/?cid=12665960569453345382,,,yes,民生社區活動中心,114.97941459239654,南京三民,959.5144680983103
